id,text,label
0,what is your favorite song ? d i like too many songs to have a favorite,0
1,3 3 ? haha jk ! 33,0
2,hey angel you duh sexy really ? ! ? ! thanks ? ! haha,0
3,,0
4,meowww rawr ?,0
5,any makeup tips ? i suck at doing my makeup lol sure ! like tell me wht u wnna know ? ! like wht do you use ? !,0
6,apriiiiiiiiiiiill ! ! ! i miss uuuu ! it is emma btw haha emma hahahahah d i missssseddd yuhhhhh 222222 33333,0
7,are you a morning or night person ? night 4shuree ! !,0
8,are you a trusting person ? alreadi answrd,0
9,are you a trusting person ? yes veryy trustin person ! ! ! may i help yuh !,0
10,are you and truace best friends ? ahaha ! ! ! yess of course aint dat rite truace ? ! ? ! haha he so awesome tho ! bck off lol jk,0
11,are you more of a talker or more of a listener ? listener definitely chuz i get cut off alot so i just listen or ignore pplz !,0
12,are yuh single and ready 2 mingle ? ! hahaha yup ! bhut not lookin 4 a man rite atm chuz dey 2much drama !,0
13,ask me something ! ! !,0
14,bahahahaha took you longer enough p gees girl hahah no its totally okay i just wanted to play guess who i am hahaha i fuckinggg love you too 3 hahahahhaahhaha d ikrr im a slow american wht more can i say lmfaoo ! ! hahaha 333 aww ! hahaha,0
15,bahahahahhaha p lmaoo ! ! ! !,0
16,bitch u thee bomb like tick tick ! hahah thanks !,0
17,can you please sing a cover of any justin bieber song ? d hahaha i dont sing ! ! lol ! so srry ! im horrible btw i dedicate smile 2 yuh ! its playing ! !,0
18,cats or dogs ? dogs ! im allergic 2 cats,0
19,chocolate or vanilla ? chocolate ! bahah !,0
20,definitely true ! d i have been learnin it for 5 years cuz i have frensh origins haha ahhh ! ! wow 5yrs ! man its a gorgeous language ! i love it ! ! this is my first year learnin it ! haha newbie !,0
21,did u watch bieber on oprah ? well sortaa ! i just got 2 wtch thee charice part ! shes awesome 3 hbu ? !,0
22,do you believe in life after death ? yes of course i do its called eternity with god in heaven ! 3,0
23,do you believe in luck ? yes bhut i think luck is blessing from god actually ! in my opinion !,0
24,do you believe there is intelligent life on other planets ? if god created them then hellz yes !,0
25,do you consider yourself a good dancer ? hahaha bitch i bring it lmao ! kinda i think lmao ! i hve some black in me so yes haha,0
26,do you have a bf ? ? nope bhut not having a bf doesnt mean the world ends i guess im waiting 4 the 1 ya kno ? hbu mamas ? !,0
27,do you have any favorite youtube star ? i have 2 actually ! justin bieber ofcourse scipio mondai !,0
